Start,End,Open,High,Low,Close,Volume,Market Cap
2025-01-24,2025-01-25,25.7053,26.4201,24.9826,25.2875,1838599941.6794424,16497736775.923346
2025-01-23,2025-01-24,25.318,26.1218,24.1142,25.6383,1319196714.7874565,15928387297.536585
2025-01-22,2025-01-23,27.076,27.076,25.3433,25.3941,2005592765.707317,16517679956.836237
2025-01-21,2025-01-22,24.9337,27.0429,23.8741,26.6307,3666434307.6794424,16237600982.616724
2025-01-20,2025-01-21,23.9625,26.7418,23.6005,25.0739,5205612302.073171,16153133666.320557
2025-01-19,2025-01-20,24.0062,26.6357,22.3239,24.3482,2142407911.0731707,15513909350.81533
2025-01-18,2025-01-19,25.1843,25.621,23.4781,24.1878,1676938055.5400696,15458598534.146341
2025-01-17,2025-01-18,23.1428,25.193,23.1428,25.1028,1763190073.5679443,15448619050.853659
2025-01-16,2025-01-17,22.0323,23.6869,21.3474,23,1568519575.3832753,14335683324.682926
2025-01-15,2025-01-16,20.3416,22.1118,20.1724,22.1118,1010702247.3310105,13372097008.714285
2025-01-14,2025-01-15,19.4051,20.486,19.2977,20.3372,1261145698.317073,12721099637.59582
2025-01-13,2025-01-14,19.87,20.3392,18.1159,19.3942,1038775068.1916376,12146125319.052265
2025-01-12,2025-01-13,20.2099,20.3279,19.666,19.8444,540570101.6202091,12802832462.04878
2025-01-11,2025-01-12,20.3102,20.6556,19.883,20.2264,796072095.8606272,12815729640.808363
